NAM, NUM, FIX, SYS, SAT, CLK, TIM, LAT, LON, HAC, MSL, GEO, VAC, SOG, COG, ROL, PIT, YAW, RAC, PAC, YAC, OBS, MAC
"neon", 33, 3, 0, 11, 1600355137.136856013, 1600355136.000000000, 39.7943105, -105.1533665, 0., 1723.500, 1702.000, 0., 0.010000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02230, 180.00000, 0, 0.
"neon", 34, 3, 0, 11, 1600355138.136800466, 1600355137.000000000, 39.7943101, -105.1533655, 0., 1723.300, 1701.800, 0., 0.063000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02230, 180.00000, 0, 0.
"neon", 35, 3, 0, 11, 1600355139.136688002, 1600355138.000000000, 39.7943096, -105.1533643, 0., 1723.100, 1701.600, 0., 0.017000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02286, 180.00000, 0, 0.
"neon", 36, 3, 0, 11, 1600355140.133197770, 1600355139.000000000, 39.7943091, -105.1533633, 0., 1722.800, 1701.300, 0., 0.034000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02347, 180.00000, 0, 0.
"neon", 37, 3, 0, 11, 1600355141.133147999, 1600355140.000000000, 39.7943078, -105.1533620, 0., 1722.200, 1700.700, 0., 0.047000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02411, 180.00000, 0, 0.
"neon", 38, 3, 0, 11, 1600355142.136474386, 1600355141.000000000, 39.7943066, -105.1533611, 0., 1721.600, 1700.100, 0., 0.028000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02465, 180.00000, 0, 0.
"neon", 39, 3, 0, 11, 1600355143.132421218, 1600355142.000000000, 39.7943048, -105.1533581, 0., 1720.600, 1699.100, 0., 0.141000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02515, 180.00000, 0, 0.
"neon", 40, 3, 0, 11, 1600355144.136303026, 1600355143.000000000, 39.7943063, -105.1533593, 0., 1720.400, 1698.900, 0., 0.698000, 0., 0.00000, 73.37045, 0.00000, 20.00000, 20.02580, 74.47639, 0, 0.
"neon", 41, 3, 0, 11, 1600355145.135375444, 1600355144.000000000, 39.7943085, -105.1533593, 0., 1720.100, 1698.600, 0., 1.012000, 5.300000000, 0.00000, 73.37045, 5.29758, 20.00000, 20.02666, 44.03304, 0, 0.
"neon", 42, 3, 0, 11, 1600355146.132074001, 1600355145.000000000, 39.7943131, -105.1533603, 0., 1719.500, 1698.000, 0., 0.956000, 0., 0.00000, 73.37045, 5.29758, 20.00000, 20.02746, 44.08327, 0, 0.
"neon", 43, 3, 0, 11, 1600355147.135170344, 1600355146.000000000, 39.7943153, -105.1533620, 0., 1719.300, 1697.800, 0., 0.248000, 0., 0.00000, 73.37045, 5.29758, 20.00000, 20.02806, 44.12007, 0, 0.
"neon", 44, 3, 0, 11, 1600355148.129781321, 1600355147.000000000, 39.7943210, -105.1533603, 0., 1718.700, 1697.200, 0., 1.429000, 4.240000000, 0.00000, 5.90889, 4.23612, 20.00000, 37.87271, 15.59956, 0, 0.
"neon", 45, 3, 0, 11, 1600355149.132795547, 1600355148.000000000, 39.7943281, -105.1533635, 0., 1716.900, 1695.400, 0., 1.511000, 6.250000000, 0.00000, -3.05475, 6.25191, 20.00000, 25.55758, 8.00167, 0, 0.
"neon", 46, 3, 0, 10, 1600355150.129950391, 1600355149.000000000, 39.7943341, -105.1533668, 0., 1715.800, 1694.300, 0., 1.177000, 358.960000000, 0.00000, -1.11685, 358.95737, 20.00000, 30.73162, 10.66715, 0, 0.
"neon", 47, 3, 0, 10, 1600355151.129578188, 1600355150.000000000, 39.7943433, -105.1533676, 0., 1716.200, 1694.700, 0., 1.748000, 7.310000000, 0.00000, 3.52442, 7.31285, 20.00000, 20.52711, 9.21153, 0, 0.
"neon", 48, 3, 0, 11, 1600355152.129707811, 1600355151.000000000, 39.7943526, -105.1533628, 0., 1716.300, 1694.800, 0., 1.862000, 3.590000000, 0.00000, 0.90751, 3.59307, 20.00000, 19.60078, 8.62591, 0, 0.
"neon", 49, 3, 0, 11, 1600355153.129530345, 1600355152.000000000, 39.7943638, -105.1533580, 0., 1715.900, 1694.400, 0., 1.695000, 1.380000000, 0.00000, 3.86162, 1.37639, 20.00000, 20.09578, 8.62325, 0, 0.
"neon", 50, 3, 0, 11, 1600355154.135943960, 1600355153.000000000, 39.7943745, -105.1533556, 0., 1715.500, 1694.000, 0., 2.361000, 7.670000000, 0.00000, 1.77746, 7.66593, 20.00000, 14.50891, 6.50698, 0, 0.
"neon", 51, 3, 0, 11, 1600355155.132446263, 1600355154.000000000, 39.7943865, -105.1533506, 0., 1715.300, 1693.800, 0., 2.385000, 7.920000000, 0.00000, 0.57283, 7.91638, 20.00000, 13.87078, 5.77442, 0, 0.
"neon", 52, 3, 0, 11, 1600355156.136668258, 1600355155.000000000, 39.7943966, -105.1533480, 0., 1714.900, 1693.400, 0., 2.524000, 6.550000000, 0.00000, -1.62569, 6.54826, 20.00000, 13.21752, 5.93455, 0, 0.
"neon", 53, 3, 0, 11, 1600355157.135652773, 1600355156.000000000, 39.7944086, -105.1533446, 0., 1714.500, 1693.000, 0., 2.314000, 7.950000000, 0.00000, -3.42091, 7.94741, 20.00000, 14.13951, 5.97205, 0, 0.
"neon", 54, 3, 0, 11, 1600355158.135664367, 1600355157.000000000, 39.7944183, -105.1533423, 0., 1714.100, 1692.600, 0., 2.003000, 8.950000000, 0.00000, -3.85510, 8.94560, 20.00000, 15.83079, 7.16787, 0, 0.
"neon", 55, 3, 0, 11, 1600355159.136365872, 1600355158.000000000, 39.7944271, -105.1533400, 0., 1713.700, 1692.200, 0., 1.779000, 3.430000000, 0.00000, -5.97707, 3.43263, 20.00000, 17.91276, 8.06745, 0, 0.
"neon", 56, 3, 0, 11, 1600355160.135335696, 1600355159.000000000, 39.7944363, -105.1533366, 0., 1713.300, 1691.800, 0., 1.807000, 7.970000000, 0.00000, -4.57120, 7.97396, 20.00000, 17.92046, 7.91698, 0, 0.
"neon", 57, 3, 0, 11, 1600355161.135062929, 1600355160.000000000, 39.7944461, -105.1533333, 0., 1713.000, 1691.500, 0., 2.404000, 7.790000000, 0.00000, -3.44499, 7.78609, 20.00000, 14.51496, 7.08147, 0, 0.
